date,raila,ruto,karua,rigathi
2022-07-23,6,6,5,11
2022-07-23,0,0,0,0
2022-07-23,0,0,0,0
2022-07-23,0,0,0,0
2022-07-23,0,0,0,0
2022-07-23,0,0,0,0
2022-07-24,2,1,2,1
2022-07-24,0,0,0,0
2022-07-24,2,1,0,0
2022-07-24,0,0,0,0
2022-07-25,2,1,5,4
2022-07-25,0,0,0,0
2022-07-25,0,0,0,0
2022-07-25,2,0,0,0
2022-07-25,0,0,0,0
2022-07-25,1,0,0,0
2022-07-25,0,0,0,0
2022-07-25,0,0,0,0
2022-07-25,0,0,0,0
2022-07-25,0,0,0,0
2022-07-25,0,0,0,0
2022-07-25,0,0,0,0
2022-07-26,0,1,0,0
2022-07-26,0,0,0,0
2022-07-26,0,0,0,0
2022-07-26,0,0,0,0
2022-07-26,0,0,0,0
2022-07-26,0,0,0,0
2022-07-26,0,0,0,0
2022-07-26,0,0,0,0
2022-07-26,1,1,0,0
2022-07-26,0,0,0,0
2022-07-26,0,0,0,0
2022-07-26,0,0,0,0
2022-07-26,0,0,0,0
2022-07-26,0,0,0,0
2022-07-26,2,1,0,1
2022-07-26,0,0,0,0
2022-07-26,0,0,0,0
2022-07-26,0,0,0,0
2022-07-26,0,0,0,0
2022-07-26,0,0,0,0
2022-07-26,0,1,1,1
2022-07-26,0,2,0,0
2022-07-26,0,4,0,0
2022-07-27,2,3,0,0
2022-07-27,0,0,0,0
2022-07-27,0,0,0,0
2022-07-27,0,0,0,0
2022-07-27,0,1,0,0
2022-07-27,0,0,0,0
2022-07-27,1,0,0,0
2022-07-27,1,2,0,0
2022-07-27,0,0,0,0
2022-07-27,0,0,0,0
2022-07-27,0,1,0,0
2022-07-27,1,1,0,0
2022-07-27,0,0,0,0
2022-07-28,3,5,0,0
2022-07-28,0,0,0,0
2022-07-28,0,0,0,0
2022-07-28,0,0,0,0
2022-07-28,0,0,0,0
2022-07-28,0,0,0,0
2022-07-28,0,1,0,2
2022-07-28,0,0,0,0
2022-07-29,2,3,2,1
2022-07-29,0,1,0,0
2022-07-29,2,1,1,0
2022-07-29,0,0,0,0
2022-07-29,0,0,0,0
2022-07-29,0,0,0,0
2022-07-30,5,3,0,0
2022-07-30,0,0,0,0
2022-07-30,0,0,0,0
2022-07-30,0,2,0,0
2022-07-30,0,0,1,0
2022-07-30,1,1,0,0
2022-07-31,3,2,0,0
2022-07-31,0,2,0,0
2022-08-01,1,0,0,0
2022-08-01,1,0,0,0
2022-08-01,1,0,0,0
2022-08-01,1,1,0,0
2022-08-01,2,1,0,0
2022-08-01,0,1,0,0
2022-08-02,2,2,0,0
2022-08-02,2,0,0,0
2022-08-02,1,1,0,0
2022-08-02,1,0,0,0
2022-08-02,1,0,0,0
2022-08-02,0,1,0,0
2022-08-02,0,1,0,0
2022-08-03,2,2,0,1
2022-08-03,1,1,0,0
2022-08-03,1,1,0,0
2022-08-03,0,1,1,1
2022-08-03,1,1,0,0
2022-08-04,3,3,0,1
2022-08-04,1,2,0,0
2022-08-04,2,3,0,0
2022-08-05,2,2,0,0
2022-08-05,0,1,0,0
2022-08-05,1,1,0,0
2022-08-05,0,1,0,0
2022-08-05,0,1,0,0
2022-08-06,1,1,0,0
2022-08-06,1,2,0,0
2022-08-06,1,0,0,0
2022-08-06,2,0,2,0
2022-08-06,2,2,0,0
2022-08-07,5,3,1,0
2022-08-07,1,1,0,0
2022-08-08,0,1,0,1
2022-08-08,1,1,0,0
2022-08-08,0,1,0,0
2022-08-08,1,0,0,0
2022-08-09,1,1,0,0
2022-08-09,0,0,2,1
2022-08-09,1,0,0,0
2022-08-10,0,0,1,0
2022-08-10,2,1,0,0
2022-08-10,0,0,1,0
2022-08-10,1,1,1,0
2022-08-10,1,1,0,0
2022-08-11,5,4,0,0
2022-08-12,1,3,0,0
2022-08-12,0,1,0,0
2022-08-12,0,1,0,0
2022-08-12,1,0,0,0
2022-08-13,1,2,0,1
2022-08-13,0,0,2,0
2022-08-13,2,0,0,0
2022-08-14,3,4,0,0
2022-08-15,1,0,0,0
2022-08-15,1,2,0,0
2022-08-15,2,2,0,0
2022-08-15,5,5,0,0
2022-08-17,9,15,3,8
2022-08-17,1,0,0,0
2022-08-17,4,7,1,0
2022-08-17,2,1,0,0
2022-08-18,2,4,0,0
2022-08-18,0,1,0,0
2022-08-18,1,2,0,0
2022-08-18,0,1,0,0
2022-08-19,1,1,0,1
2022-08-19,0,3,0,0
2022-08-19,1,0,0,0
2022-08-20,2,1,0,0
2022-08-20,1,0,0,0
2022-08-20,0,3,0,0
2022-08-21,2,1,0,0
2022-08-21,2,3,0,0
2022-08-21,1,2,0,0
2022-08-22,4,4,0,0
2022-08-22,2,3,0,0
2022-08-22,1,0,0,0
2022-08-23,4,3,1,0
