date,raila,ruto,karua,rigathi
2022-07-23,21,25,11,16
2022-07-23,0,0,0,0
2022-07-23,0,0,0,0
2022-07-23,0,0,0,0
2022-07-23,0,0,0,0
2022-07-23,0,0,0,0
2022-07-24,7,5,4,1
2022-07-24,1,1,0,0
2022-07-24,2,1,0,0
2022-07-24,0,0,0,0
2022-07-25,2,1,5,4
2022-07-25,0,0,0,0
2022-07-25,0,0,0,0
2022-07-25,6,4,0,0
2022-07-25,0,0,0,0
2022-07-25,1,1,0,0
2022-07-25,0,0,0,0
2022-07-25,0,0,0,0
2022-07-25,2,2,1,0
2022-07-25,0,0,0,0
2022-07-25,0,1,0,0
2022-07-25,0,0,0,0
2022-07-26,0,1,0,0
2022-07-26,0,0,0,0
2022-07-26,0,0,0,0
2022-07-26,2,0,1,0
2022-07-26,0,0,0,0
2022-07-26,2,2,0,0
2022-07-26,0,1,0,0
2022-07-26,0,0,0,0
2022-07-26,1,1,0,0
2022-07-26,0,0,0,0
2022-07-26,0,0,0,0
2022-07-26,0,0,0,0
2022-07-26,0,1,0,0
2022-07-26,0,0,0,0
2022-07-26,3,2,1,2
2022-07-26,0,0,0,0
2022-07-26,2,0,1,0
2022-07-26,0,0,0,0
2022-07-26,0,0,0,0
2022-07-26,0,0,0,0
2022-07-26,1,1,1,1
2022-07-26,0,2,0,0
2022-07-26,0,4,0,0
2022-07-27,2,5,0,0
2022-07-27,1,5,1,0
2022-07-27,0,0,0,0
2022-07-27,0,0,0,0
2022-07-27,0,1,0,0
2022-07-27,0,0,0,0
2022-07-27,0,0,0,0
2022-07-27,2,1,1,1
2022-07-27,2,2,0,0
2022-07-27,0,0,0,0
2022-07-27,1,1,0,0
2022-07-27,0,1,0,0
2022-07-27,1,1,0,0
2022-07-27,0,0,0,0
2022-07-28,3,5,0,0
2022-07-28,0,0,0,0
2022-07-28,0,0,0,0
2022-07-28,0,0,0,0
2022-07-28,6,5,0,0
2022-07-28,0,0,0,0
2022-07-28,2,1,1,0
2022-07-28,0,1,0,3
2022-07-28,1,4,1,0
2022-07-29,2,4,2,1
2022-07-29,3,5,2,1
2022-07-29,4,3,1,0
2022-07-29,0,0,0,0
2022-07-29,4,4,0,0
2022-07-29,0,0,0,0
2022-07-29,0,0,0,0
2022-07-29,0,0,0,0
2022-07-30,7,4,0,0
2022-07-30,0,0,0,0
2022-07-30,0,0,0,0
2022-07-30,0,0,0,0
2022-07-30,0,2,0,0
2022-07-30,5,5,0,0
2022-07-30,0,0,1,0
2022-07-30,1,1,0,0
2022-07-31,3,2,0,0
2022-07-31,4,8,0,0
2022-07-31,0,1,0,0
2022-07-31,0,1,0,0
2022-07-31,1,1,0,0
2022-07-31,0,2,0,0
2022-08-01,4,4,0,0
2022-08-01,1,3,0,0
2022-08-01,1,0,0,0
2022-08-01,1,0,0,0
2022-08-01,1,1,0,0
2022-08-01,2,3,0,0
2022-08-01,3,5,1,3
2022-08-01,0,1,0,0
2022-08-02,1,0,0,0
2022-08-02,1,0,1,0
2022-08-02,2,1,0,0
2022-08-02,3,3,0,0
2022-08-02,2,0,0,0
2022-08-02,3,4,0,0
2022-08-02,3,2,0,0
2022-08-02,1,1,0,0
2022-08-02,1,0,0,0
2022-08-02,1,1,1,0
2022-08-02,1,1,0,0
2022-08-03,2,2,0,1
2022-08-03,4,4,0,0
2022-08-03,3,1,0,0
2022-08-03,0,2,1,1
2022-08-03,3,2,0,0
2022-08-03,0,1,0,0
2022-08-03,2,2,0,0
2022-08-03,1,1,0,0
2022-08-03,0,0,1,0
2022-08-04,6,7,0,2
2022-08-04,1,7,0,0
2022-08-04,9,3,0,0
2022-08-04,0,0,1,0
2022-08-04,1,0,0,0
2022-08-05,10,6,0,0
2022-08-05,0,1,0,0
2022-08-05,1,1,1,0
2022-08-05,0,1,0,0
2022-08-05,0,1,0,0
2022-08-06,1,1,0,0
2022-08-06,1,2,0,0
2022-08-06,1,0,0,0
2022-08-06,2,0,2,0
2022-08-06,1,0,0,0
2022-08-06,7,4,1,0
2022-08-07,11,7,3,0
2022-08-07,1,1,0,0
2022-08-07,1,1,0,0
2022-08-08,0,1,0,1
2022-08-08,5,5,1,0
2022-08-08,0,1,0,0
2022-08-08,1,0,0,0
2022-08-09,1,1,0,0
2022-08-09,0,0,2,1
2022-08-09,1,0,1,1
2022-08-09,0,3,1,0
2022-08-09,0,1,0,0
2022-08-10,0,0,1,0
2022-08-10,6,5,1,0
2022-08-10,0,0,1,0
2022-08-10,1,0,0,0
2022-08-10,0,1,0,0
2022-08-10,0,0,1,0
2022-08-10,1,1,0,0
2022-08-10,3,2,1,0
2022-08-10,1,2,0,0
2022-08-11,7,7,0,0
2022-08-11,7,7,0,0
2022-08-11,1,4,1,0
2022-08-11,0,1,0,0
2022-08-11,2,2,0,0
2022-08-12,3,5,0,0
2022-08-12,0,1,0,0
2022-08-12,1,1,0,0
2022-08-12,0,1,0,0
2022-08-12,0,2,0,1
2022-08-12,0,1,0,0
2022-08-12,1,0,0,0
2022-08-12,1,0,0,0
2022-08-12,0,1,0,0
2022-08-13,1,4,0,1
2022-08-13,0,0,2,0
2022-08-13,2,2,0,0
